Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,RSI,MACD,MACD_Signal,MACD_Hist,BB_Middle,BB_Upper,BB_Lower,ATR
2026-03-04 00:00:00+00:00,68317.765625,68397.90625,67934.5078125,68185.59375,0,0.0,0.0,,,,68185.59375,68185.59375,,0.0,0.0,0.0,,,,
2026-03-04 01:00:00+00:00,68120.4921875,68881.15625,68003.03125,68423.7578125,1048698880,0.0,0.0,,,,68222.234375,68203.23553240742,,18.99884259258397,3.799768518516794,15.199074074067175,,,,
2026-03-04 02:00:00+00:00,68417.7890625,68417.7890625,68030.9375,68309.296875,0,0.0,0.0,,,,68235.62860576923,68211.09192815502,,24.536677614218206,7.947150337657078,16.589527276561128,,,,
2026-03-04 03:00:00+00:00,68316.03125,68326.6796875,67449.2734375,67669.0625,1025560576,0.0,0.0,,,,68148.46458949705,68170.94160014353,,-22.477010646485724,1.8623181408285179,-24.33932878731424,,,,
2026-03-04 04:00:00+00:00,67778.3828125,67911.5859375,67496.234375,67811.9609375,419692544,0.0,0.0,,,,68096.6947968821,68144.35043994771,,-47.655643065605545,-8.041274100458295,-39.61436896514725,,,,
2026-03-04 05:00:00+00:00,67813.625,68357.0546875,67732.5234375,68270.9296875,0,0.0,0.0,,,,68123.50016466947,68153.72668050714,,-30.226515837668558,-12.478322447900348,-17.74819338976821,,,,
2026-03-04 06:00:00+00:00,68209.109375,68650.125,68099.5859375,68486.2421875,1144762368,0.0,0.0,,,,68179.30662972032,68178.3574588029,,0.9491709174180869,-9.792823774836663,10.74199469225475,,,,
2026-03-04 07:00:00+00:00,68513.90625,69556.46875,68390.5390625,69556.46875,831889408,0.0,0.0,,,,68391.17772514797,68280.43977666934,,110.73794847862155,14.31333067585498,96.42461780276656,,,,
2026-03-04 08:00:00+00:00,69513.703125,71028.4296875,69193.3671875,71028.4296875,2991038464,0.0,0.0,,,,68796.90879627905,68483.99458487902,,312.91421140002785,74.03350682068955,238.8807045793383,,,,
2026-03-04 09:00:00+00:00,71002.8828125,71856.53125,70788.203125,71472.7109375,3960590336,0.0,0.0,,,,69208.5706641592,68705.38098136947,,503.189682789729,159.86474201449744,343.32494077523154,,,,
2026-03-04 10:00:00+00:00,71472.7109375,71812.625,71219.5390625,71260.1640625,1820475392,0.0,0.0,,,,69524.2004177501,68894.62417256432,,629.5762451857736,253.80704264875268,375.7692025370209,,,,
2026-03-04 11:00:00+00:00,71297.5859375,71439.3125,70952.9375,71131.1171875,431890432,0.0,0.0,,,,69771.418382327,69060.29032181881,,711.1280605081847,345.2712462206391,365.8568142875456,,,,
2026-03-04 12:00:00+00:00,71115.9140625,71339.9921875,70634.0859375,71339.9921875,678121472,0.0,0.0,,,,70012.73742927669,69229.15712668409,,783.5803025925998,432.9330574950313,350.6472450975685,,,,
2026-03-04 13:00:00+00:00,71340.7265625,71594.09375,71247.890625,71486.8828125,1226080256,0.0,0.0,,,,70239.52902669566,69396.39606637416,80.04522087839423,843.1329603214981,514.9730380603247,328.1599222611734,,,,743.0758928571429
2026-03-04 14:00:00+00:00,71488.296875,72458.796875,71370.5390625,71628.4609375,2497908736,0.0,0.0,,,,70453.2108591271,69561.73420497608,80.54654065991346,891.476654151018,590.2737612784634,301.20289287255457,,,,787.7087053571429
2026-03-04 15:00:00+00:00,71604.0390625,73245.125,71604.0390625,73245.125,2881396736,0.0,0.0,,,,70882.73611156909,69834.57796757044,84.36986583647533,1048.1581439986476,681.8506378225003,366.3075061761473,,,,842.2059151785714
2026-03-04 16:00:00+00:00,73404.96875,73417.75,72606.3125,73410.8125,424943616,0.0,0.0,,,,71271.67094055846,70099.48422923188,86.10326624219599,1172.1867113265762,779.9178525233154,392.26885880326074,,,,872.1071428571429
2026-03-04 17:00:00+00:00,73324.921875,73764.4453125,72999.3125,73251.6796875,1400963072,0.0,0.0,,,,71576.28767085716,70332.98018910359,92.3948782632324,1243.3074817535671,872.5957783693659,370.7117033842012,,,,864.0876116071429
2026-03-04 18:00:00+00:00,73243.8515625,73695.265625,73004.0,73596.3359375,400482304,0.0,0.0,,,,71887.06432726375,70574.71024454036,92.62099550303597,1312.3540827233955,960.5474392401719,351.80664348322364,,,,883.7957589285714
2026-03-04 19:00:00+00:00,73645.7421875,74041.8125,73568.6953125,73717.9375,2276098048,0.0,0.0,70664.148046875,,,72168.73712306932,70807.54189309292,92.23494462704885,1361.1952299764089,1040.6769973874193,320.5182325889896,70664.148046875,74962.46460914289,66365.8314846071,872.98046875
2026-03-04 20:00:00+00:00,73669.5703125,73674.078125,73156.828125,73156.828125,131170304,0.0,0.0,70912.709765625,,,72320.75112336635,70981.56309545641,84.3715683625304,1339.1880279099423,1100.379203491924,238.80882441801828,70912.709765625,75182.39011946219,66643.02941178781,873.7354910714286
2026-03-04 21:00:00+00:00,73110.6328125,73330.890625,72915.9296875,73318.4609375,1153753088,0.0,0.0,71157.444921875,,,72474.24494092537,71154.66663931149,81.95894420367286,1319.5783016138885,1144.219023116317,175.3592784975715,71157.444921875,75387.36740419692,66927.52243955307,820.0948660714286
