Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-03-04 00:00:00+00:00,68317.765625,68397.90625,67934.5078125,68185.59375,0,0.0,0.0
2026-03-04 01:00:00+00:00,68120.4921875,68881.15625,68003.03125,68423.7578125,1048698880,0.0,0.0
2026-03-04 02:00:00+00:00,68417.7890625,68417.7890625,68030.9375,68309.296875,0,0.0,0.0
2026-03-04 03:00:00+00:00,68316.03125,68326.6796875,67449.2734375,67669.0625,1025560576,0.0,0.0
2026-03-04 04:00:00+00:00,67778.3828125,67911.5859375,67496.234375,67811.9609375,419692544,0.0,0.0
2026-03-04 05:00:00+00:00,67813.625,68357.0546875,67732.5234375,68270.9296875,0,0.0,0.0
2026-03-04 06:00:00+00:00,68209.109375,68650.125,68099.5859375,68486.2421875,1144762368,0.0,0.0
2026-03-04 07:00:00+00:00,68513.90625,69556.46875,68390.5390625,69556.46875,831889408,0.0,0.0
2026-03-04 08:00:00+00:00,69513.703125,71028.4296875,69193.3671875,71028.4296875,2991038464,0.0,0.0
2026-03-04 09:00:00+00:00,71002.8828125,71856.53125,70788.203125,71472.7109375,3960590336,0.0,0.0
2026-03-04 10:00:00+00:00,71472.7109375,71812.625,71219.5390625,71260.1640625,1820475392,0.0,0.0
2026-03-04 11:00:00+00:00,71297.5859375,71439.3125,70952.9375,71131.1171875,431890432,0.0,0.0
2026-03-04 12:00:00+00:00,71115.9140625,71339.9921875,70634.0859375,71339.9921875,678121472,0.0,0.0
2026-03-04 13:00:00+00:00,71340.7265625,71594.09375,71247.890625,71486.8828125,1226080256,0.0,0.0
2026-03-04 14:00:00+00:00,71488.296875,72458.796875,71370.5390625,71628.4609375,2497908736,0.0,0.0
2026-03-04 15:00:00+00:00,71604.0390625,73245.125,71604.0390625,73245.125,2881396736,0.0,0.0
2026-03-04 16:00:00+00:00,73404.96875,73417.75,72606.3125,73410.8125,424943616,0.0,0.0
2026-03-04 17:00:00+00:00,73324.921875,73764.4453125,72999.3125,73251.6796875,1400963072,0.0,0.0
2026-03-04 18:00:00+00:00,73243.8515625,73695.265625,73004.0,73596.3359375,400482304,0.0,0.0
2026-03-04 19:00:00+00:00,73645.7421875,74041.8125,73568.6953125,73717.9375,2276098048,0.0,0.0
2026-03-04 20:00:00+00:00,73669.5703125,73674.078125,73156.828125,73156.828125,131170304,0.0,0.0
2026-03-04 21:00:00+00:00,73110.6328125,73330.890625,72915.9296875,73318.4609375,1153753088,0.0,0.0
2026-03-04 22:00:00+00:00,73334.5234375,73524.5,72665.984375,72755.4453125,196395008,0.0,0.0
2026-03-04 23:00:00+00:00,72710.6875,72829.3203125,72336.9921875,72670.125,1046552576,0.0,0.0
2026-03-05 00:00:00+00:00,72729.2734375,72990.6015625,72574.9609375,72822.90625,0,0.0,0.0
2026-03-05 01:00:00+00:00,72815.109375,73261.5859375,72462.2578125,72492.8828125,162013184,0.0,0.0
2026-03-05 02:00:00+00:00,72530.8984375,72858.359375,72368.5546875,72449.1015625,150396928,0.0,0.0
2026-03-05 03:00:00+00:00,72510.953125,72735.3046875,72373.5625,72513.1328125,0,0.0,0.0
2026-03-05 04:00:00+00:00,72502.0625,73056.2578125,72478.2578125,72823.25,0,0.0,0.0
2026-03-05 05:00:00+00:00,72847.9296875,72887.84375,72287.265625,72287.265625,578125824,0.0,0.0
2026-03-05 06:00:00+00:00,72412.0390625,72642.375,72066.6953125,72560.7109375,252207104,0.0,0.0
2026-03-05 07:00:00+00:00,72560.75,72660.1171875,71833.234375,71994.4453125,0,0.0,0.0
2026-03-05 08:00:00+00:00,72075.7265625,72374.171875,71794.0078125,72374.171875,0,0.0,0.0
2026-03-05 09:00:00+00:00,72350.8984375,72844.15625,72350.8984375,72599.0,0,0.0,0.0
2026-03-05 10:00:00+00:00,72595.625,73527.2890625,72585.34375,73390.0703125,0,0.0,0.0
2026-03-05 11:00:00+00:00,73415.9375,73433.3125,72822.6328125,72876.4453125,855916544,0.0,0.0
2026-03-05 12:00:00+00:00,72928.21875,73047.9296875,72700.9609375,72960.703125,0,0.0,0.0
2026-03-05 13:00:00+00:00,72925.5390625,72925.5390625,72278.421875,72484.328125,0,0.0,0.0
2026-03-05 14:00:00+00:00,72466.4453125,72711.2890625,72013.484375,72711.2890625,0,0.0,0.0
2026-03-05 15:00:00+00:00,72677.2265625,72677.2265625,71200.6796875,71481.0078125,0,0.0,0.0
2026-03-05 16:00:00+00:00,71642.875,71642.875,70829.8984375,71318.9765625,0,0.0,0.0
2026-03-05 17:00:00+00:00,71329.6015625,71569.1171875,70663.078125,70837.2890625,0,0.0,0.0
2026-03-05 18:00:00+00:00,70711.3203125,71032.828125,70711.3203125,70981.2734375,0,0.0,0.0
2026-03-05 19:00:00+00:00,70995.1015625,71337.2734375,70913.6484375,70952.4609375,0,0.0,0.0
2026-03-05 20:00:00+00:00,70945.5703125,71336.046875,70893.375,71259.5859375,0,0.0,0.0
2026-03-05 21:00:00+00:00,71248.1171875,71542.8203125,71038.296875,71139.5390625,0,0.0,0.0
2026-03-05 22:00:00+00:00,71139.7578125,71321.265625,71099.875,71246.0078125,0,0.0,0.0
2026-03-05 23:00:00+00:00,71221.84375,71273.109375,70790.78125,70790.78125,0,0.0,0.0
2026-03-06 00:00:00+00:00,70878.65625,71030.078125,70853.5625,70928.421875,0,0.0,0.0
2026-03-06 01:00:00+00:00,70938.90625,71265.875,70420.71875,71244.7890625,0,0.0,0.0
2026-03-06 02:00:00+00:00,71254.7265625,71357.8671875,71104.6875,71211.6015625,161177600,0.0,0.0
2026-03-06 03:00:00+00:00,71233.1953125,71254.0078125,71029.078125,71074.9140625,0,0.0,0.0
2026-03-06 04:00:00+00:00,71085.6328125,71100.65625,70435.671875,70594.9453125,0,0.0,0.0
2026-03-06 05:00:00+00:00,70572.5390625,70632.6953125,70162.8359375,70448.7421875,0,0.0,0.0
2026-03-06 06:00:00+00:00,70436.75,70806.734375,70275.53125,70644.921875,0,0.0,0.0
2026-03-06 07:00:00+00:00,70616.2734375,71162.75,70495.625,71077.15625,0,0.0,0.0
2026-03-06 08:00:00+00:00,71060.3359375,71060.3359375,70762.578125,70762.578125,0,0.0,0.0
2026-03-06 09:00:00+00:00,70762.046875,70785.6171875,70353.2421875,70565.0078125,0,0.0,0.0
2026-03-06 10:00:00+00:00,70566.25,70765.609375,70503.109375,70551.640625,0,0.0,0.0
2026-03-06 11:00:00+00:00,70540.765625,70611.7109375,70198.7265625,70202.3359375,0,0.0,0.0
2026-03-06 12:00:00+00:00,70203.9140625,70203.9140625,69682.0390625,70014.0625,1219764224,0.0,0.0
2026-03-06 13:00:00+00:00,69998.7890625,70264.609375,69333.1171875,69358.984375,927875072,0.0,0.0
2026-03-06 14:00:00+00:00,68906.4375,69190.125,68341.328125,68341.328125,2065895424,0.0,0.0
2026-03-06 15:00:00+00:00,68448.0703125,69012.078125,68333.4140625,68543.03125,0,0.0,0.0
2026-03-06 16:00:00+00:00,68506.578125,68773.5234375,68241.375,68470.203125,0,0.0,0.0
2026-03-06 17:00:00+00:00,68448.3046875,68614.46875,67760.484375,67987.828125,39723008,0.0,0.0
2026-03-06 18:00:00+00:00,68006.5078125,68451.7109375,68006.5078125,68190.609375,0,0.0,0.0
2026-03-06 19:00:00+00:00,68248.265625,68455.5078125,68022.0,68109.4140625,0,0.0,0.0
2026-03-06 20:00:00+00:00,68124.5703125,68237.4296875,67778.1484375,68145.4453125,36192256,0.0,0.0
2026-03-06 21:00:00+00:00,68119.671875,68309.734375,67940.6015625,68278.59375,77824,0.0,0.0
2026-03-06 22:00:00+00:00,68277.890625,68423.8984375,68234.03125,68423.8984375,0,0.0,0.0
2026-03-06 23:00:00+00:00,68320.375,68367.515625,68105.59375,68119.6484375,0,0.0,0.0
2026-03-07 00:00:00+00:00,68139.6875,68348.6796875,68127.828125,68312.25,0,0.0,0.0
2026-03-07 01:00:00+00:00,68303.6171875,68343.921875,68186.59375,68280.625,0,0.0,0.0
2026-03-07 02:00:00+00:00,68252.4921875,68298.1015625,68092.2421875,68298.1015625,0,0.0,0.0
2026-03-07 03:00:00+00:00,68342.4375,68513.84375,68108.3125,68133.25,0,0.0,0.0
2026-03-07 04:00:00+00:00,68124.7421875,68144.4765625,67890.0703125,68076.1484375,0,0.0,0.0
2026-03-07 05:00:00+00:00,68096.3046875,68111.765625,67928.09375,67998.078125,0,0.0,0.0
2026-03-07 06:00:00+00:00,68005.3046875,68009.5,67716.71875,67745.171875,0,0.0,0.0
2026-03-07 07:00:00+00:00,67689.0078125,67854.9375,67503.4140625,67854.9375,0,0.0,0.0
2026-03-07 08:00:00+00:00,67827.046875,68031.46875,67752.2421875,67763.1640625,0,0.0,0.0
2026-03-07 09:00:00+00:00,67794.2890625,68046.0234375,67743.6796875,68016.796875,0,0.0,0.0
2026-03-07 10:00:00+00:00,67999.1640625,68091.4296875,67882.578125,67882.578125,0,0.0,0.0
2026-03-07 11:00:00+00:00,67882.578125,68207.53125,67867.453125,68020.875,0,0.0,0.0
2026-03-07 12:00:00+00:00,68015.34375,68078.625,67908.9453125,67995.0859375,0,0.0,0.0
2026-03-07 13:00:00+00:00,67986.6953125,68071.1328125,67881.5234375,67923.0703125,0,0.0,0.0
2026-03-07 14:00:00+00:00,67893.1875,68054.3515625,67628.859375,68038.125,0,0.0,0.0
2026-03-07 15:00:00+00:00,68020.1640625,68020.1640625,67798.03125,67910.8984375,0,0.0,0.0
2026-03-07 16:00:00+00:00,67887.4375,67887.4375,67741.328125,67818.6875,0,0.0,0.0
2026-03-07 17:00:00+00:00,67804.7109375,67918.0234375,67781.765625,67781.765625,0,0.0,0.0
2026-03-07 18:00:00+00:00,67787.0546875,67787.0546875,67521.46875,67588.6875,0,0.0,0.0
2026-03-07 19:00:00+00:00,67571.0625,67571.0625,67016.953125,67095.625,965033984,0.0,0.0
2026-03-07 20:00:00+00:00,67087.1328125,67418.8984375,67087.1328125,67414.6171875,0,0.0,0.0
2026-03-07 21:00:00+00:00,67401.6796875,67476.7265625,67297.53125,67439.015625,0,0.0,0.0
2026-03-07 22:00:00+00:00,67452.1484375,67456.328125,67171.5625,67240.6640625,25126912,0.0,0.0
2026-03-07 23:00:00+00:00,67239.65625,67384.7421875,67209.265625,67267.703125,0,0.0,0.0
2026-03-08 00:00:00+00:00,67250.1015625,67474.390625,67177.8046875,67228.4921875,0,0.0,0.0
2026-03-08 01:00:00+00:00,67197.640625,67350.0390625,67098.0703125,67296.7109375,144486400,0.0,0.0
2026-03-08 02:00:00+00:00,67299.8046875,67408.5859375,66905.828125,66956.8046875,606951424,0.0,0.0
2026-03-08 03:00:00+00:00,66919.421875,67064.59375,66892.953125,67050.3515625,288538624,0.0,0.0
2026-03-08 04:00:00+00:00,67009.3125,67077.75,66612.984375,66647.515625,278130688,0.0,0.0
2026-03-08 05:00:00+00:00,66635.25,67217.5859375,66635.25,67171.09375,339662848,0.0,0.0
2026-03-08 06:00:00+00:00,67154.2109375,67218.9609375,67057.984375,67190.828125,0,0.0,0.0
2026-03-08 07:00:00+00:00,67162.796875,67412.6953125,67162.4296875,67277.71875,0,0.0,0.0
2026-03-08 08:00:00+00:00,67315.3984375,67547.984375,67184.15625,67537.9296875,383299584,0.0,0.0
2026-03-08 09:00:00+00:00,67541.71875,67819.0546875,67472.4921875,67733.984375,697190400,0.0,0.0
2026-03-08 10:00:00+00:00,67718.625,68170.4453125,67718.625,67893.5078125,643680256,0.0,0.0
2026-03-08 11:00:00+00:00,67896.859375,67896.859375,67439.5703125,67537.6328125,203538432,0.0,0.0
2026-03-08 12:00:00+00:00,67517.109375,67617.4453125,66913.4375,67305.921875,870957056,0.0,0.0
2026-03-08 13:00:00+00:00,67316.9375,67354.6640625,66876.625,67257.5390625,1407559680,0.0,0.0
2026-03-08 14:00:00+00:00,67249.78125,67395.0,67074.4453125,67291.859375,32139264,0.0,0.0
2026-03-08 15:00:00+00:00,67321.421875,67348.921875,67125.3828125,67197.578125,235843584,0.0,0.0
2026-03-08 16:00:00+00:00,67200.6953125,67222.40625,66846.515625,66846.515625,435476480,0.0,0.0
2026-03-08 17:00:00+00:00,66859.78125,67139.203125,66824.0625,66978.1953125,514711552,0.0,0.0
2026-03-08 18:00:00+00:00,67011.078125,67041.4140625,66768.0625,66853.7421875,0,0.0,0.0
2026-03-08 19:00:00+00:00,66823.9375,67405.09375,66806.6953125,67294.5234375,0,0.0,0.0
2026-03-08 20:00:00+00:00,67311.3671875,67480.8671875,67050.953125,67210.8359375,424927232,0.0,0.0
2026-03-08 21:00:00+00:00,67243.015625,67243.015625,66760.640625,66978.71875,785186816,0.0,0.0
2026-03-08 22:00:00+00:00,66976.671875,66976.671875,65660.515625,66221.859375,2410731520,0.0,0.0
2026-03-08 23:00:00+00:00,66215.1171875,66529.421875,65990.9765625,65990.9765625,1615960064,0.0,0.0
2026-03-09 00:00:00+00:00,65975.703125,66716.171875,65878.921875,66406.7734375,1005076480,0.0,0.0
